Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2000);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;12872;"Cognitive Psychology";journal;"10955623, 00100285";3,109;Q1;123;17;63;1294;276;63;3,61;76,12;United States;Northern America;"Academic Press Inc.";"1970-2021";"Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
2;22478;"Journal of Memory and Language";journal;"10960821, 0749596X";2,933;Q1;156;60;160;2830;475;160;2,72;47,17;United States;Northern America;"Academic Press Inc.";"1985-2021";"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
3;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";1,698;Q1;377;128;427;4176;1752;427;3,36;32,63;United States;Northern America;"IEEE Computer Society";"1978-2021";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
4;24157;"Autonomous Agents and Multi-Agent Systems";journal;"15737454, 13872532";1,679;Q1;72;14;25;601;94;25;3,76;42,93;Netherlands;Western Europe;"Springer Netherlands";"1998-2021";"Artificial Intelligence (Q1)"
5;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";1,582;Q1;202;72;180;1748;388;175;1,96;24,28;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2021";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)"
6;23127;"Journal of the ACM";journal;"00045411, 1557735X";1,287;Q1;131;35;95;1222;240;94;2,56;34,91;United States;Northern America;"Association for Computing Machinery (ACM)";"1954-2021";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)"
7;18050;"International Journal of Robotics Research";journal;"02783649, 17413176";1,192;Q1;170;72;260;2061;331;258;1,27;28,63;United States;Northern America;"SAGE Publications Inc.";"1982-2021";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)"
8;12874;"Cognitive Science";journal;"03640213, 15516709";1,090;Q1;120;20;49;1458;104;49;1,69;72,90;United States;Northern America;"Wiley-Blackwell";"1977-2021";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)"
9;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";1,050;Q1;201;64;178;2306;542;178;2,72;36,03;Netherlands;Western Europe;"Springer Netherlands";"1987-2021";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
10;23675;"Artificial Intelligence";journal;"00043702";1,018;Q1;155;74;258;3391;615;257;1,94;45,82;Netherlands;Western Europe;"Elsevier";"1970-2022";"Artificial Intelligence (Q1); Linguistics and Language (Q1)"
11;26801;"Computational Linguistics";journal;"08912017, 15309312";0,996;Q1;103;20;63;815;179;63;2,68;40,75;United States;Northern America;"MIT Press Journals";"1985, 1996-2021";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Linguistics and Language (Q1)"
12;25456;"Proceedings - IEEE International Conference on Robotics and Automation";conference and proceedings;"10504729";0,907;-;190;645;1702;9203;1827;1688;1,14;14,27;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1984-1985, 1991-2020";"Artificial Intelligence; Control and Systems Engineering; Electrical and Electronic Engineering; Software"
13;18016;"Autonomous Robots";journal;"15737527, 09295593";0,889;Q1;117;40;82;1434;133;82;1,19;35,85;Netherlands;Western Europe;"Springer Netherlands";"1994-2021";"Artificial Intelligence (Q1)"
14;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";0,844;Q1;221;144;455;3690;765;445;1,23;25,63;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2021";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)"
15;24140;"Artificial Intelligence in Medicine";journal;"09333657, 18732860";0,809;Q1;93;40;130;1246;238;120;1,80;31,15;Netherlands;Western Europe;"Elsevier";"1989-2021";"Artificial Intelligence (Q1); Medicine (miscellaneous) (Q1)"
16;24330;"Journal of Artificial Intelligence Research";journal;"10769757";0,787;Q1;123;20;56;784;138;56;2,23;39,20;United States;Northern America;"Morgan Kaufmann Publishers, Inc.";"1993, 1996-2021";"Artificial Intelligence (Q1)"
17;12409;"Multidimensional Systems and Signal Processing";journal;"15730824, 09236082";0,722;Q1;41;16;73;378;43;73;0,58;23,63;Netherlands;Western Europe;"Springer Netherlands";"1990-2021";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Signal Processing (Q1); Software (Q1); Applied Mathematics (Q2)"
18;12795;"Perception";journal;"14684233, 03010066";0,706;Q1;94;119;354;3433;328;319;0,77;28,85;United States;Northern America;"SAGE Publications Inc.";"1972-2021";"Artificial Intelligence (Q1); Ophthalmology (Q1); Sensory Systems (Q2); Experimental and Cognitive Psychology (Q3)"
19;15435;"Journal of Consciousness Studies";journal;"20512201, 13558250";0,696;Q1;67;56;174;1225;90;174;0,48;21,88;United Kingdom;Western Europe;"Imprint Academic";"1996-2021";"Artificial Intelligence (Q1); Philosophy (Q1); Psychology (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
20;24775;"Machine Learning";journal;"15730565, 08856125";0,680;Q1;153;43;129;1654;277;128;1,91;38,47;Netherlands;Western Europe;"Springer Netherlands";"1986-2021";"Artificial Intelligence (Q1); Software (Q1)"
21;24354;"Journal of Automated Reasoning";journal;"15730670, 01687433";0,675;Q1;56;26;98;967;99;98;0,91;37,19;Netherlands;Western Europe;"Springer Netherlands";"1985-2021";"Artificial Intelligence (Q1); Software (Q1); Computational Theory and Mathematics (Q2)"
22;24823;"Pattern Recognition";journal;"00313203";0,658;Q1;218;161;489;3645;800;488;1,65;22,64;United Kingdom;Western Europe;"Elsevier Ltd.";"1968-2022";"Artificial Intelligence (Q1); Software (Q1); Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2)"
23;23629;"AI Magazine";journal;"07384602";0,632;Q1;79;28;107;439;207;107;1,54;15,68;United States;Northern America;"AI Access Foundation";"1984-1986, 1989-2020";"Artificial Intelligence (Q1)"
24;24142;"Artificial Life";journal;"10645462, 15309185";0,619;Q1;57;21;55;558;72;54;1,37;26,57;United States;Northern America;"MIT Press Journals";"1995, 1997-2021";"Artificial Intelligence (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)"
25;145636;"Proceedings of the International Conference on Autonomous Agents";conference and proceedings;"-";0,616;-;75;89;192;1044;291;190;1,24;11,73;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Software; Theoretical Computer Science"
26;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";0,612;Q2;86;22;53;684;84;53;0,65;31,09;Netherlands;Western Europe;"Springer Netherlands";"1986-2021";"Linguistics and Language (Q1); Artificial Intelligence (Q2)"
27;24361;"Journal of Intelligent Information Systems";journal;"15737675, 09259902";0,586;Q2;57;25;67;625;102;67;1,31;25,00;Netherlands;Western Europe;"Springer Netherlands";"1992-2021";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1); Artificial Intelligence (Q2); Information Systems (Q2)"
28;110111;"IEEE Intelligent Systems";journal;"15411672";0,584;Q2;129;74;249;665;311;244;1,22;8,99;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2001-2021";"Computer Networks and Communications (Q1); Artificial Intelligence (Q2)"
29;19400157504;"IJCAI International Joint Conference on Artificial Intelligence";conference and proceedings;"10450823";0,553;-;142;0;378;0;507;374;1,30;0,00;United States;Northern America;"";"";"Artificial Intelligence"
