Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2000);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
30;24358;"Journal of Heuristics";journal;"13811231, 15729397";0,534;Q2;67;26;66;548;49;66;0,89;21,08;Netherlands;Western Europe;"Springer Netherlands";"1995-2021";"Computer Networks and Communications (Q1); Artificial Intelligence (Q2); Information Systems (Q2); Management Science and Operations Research (Q2); Software (Q2); Control and Optimization (Q3)"
31;24774;"Knowledge Engineering Review";journal;"14698005, 02698889";0,532;Q2;64;23;68;976;108;67;1,82;42,43;United Kingdom;Western Europe;"Cambridge University Press";"1984, 1987-2021";"Artificial Intelligence (Q2); Software (Q2)"
32;23635;"Adaptive Behavior";journal;"17412633, 10597123";0,531;-;54;15;50;634;58;46;0,70;42,27;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2021";"Experimental and Cognitive Psychology (Q3); Behavioral Neuroscience (Q4)"
33;24305;"International Journal of Intelligent Systems";journal;"1098111X, 08848173";0,525;Q2;92;61;174;1400;112;174;0,60;22,95;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1986-2021";"Human-Computer Interaction (Q1); Artificial Intelligence (Q2); Software (Q2); Theoretical Computer Science (Q2)"
34;21100285028;"IEEE Transactions on Human-Machine Systems";journal;"21682291";0,509;Q2;127;58;106;1720;119;106;1,12;29,66;United States;Northern America;"IEEE Systems, Man, and Cybernetics Society";"2013-2021";"Human Factors and Ergonomics (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Human-Computer Interaction (Q2); Signal Processing (Q2)"
35;19294;"Journal of Scheduling";journal;"10946136";0,491;Q2;64;22;28;541;24;28;0,86;24,59;United States;Northern America;"Springer New York";"1998-2021";"Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Management Science and Operations Research (Q2); Software (Q2)"
36;78337;"Proceedings of the National Conference on Artificial Intelligence";conference and proceedings;"-";0,478;-;129;0;518;0;579;516;1,19;0,00;United States;Northern America;"American Association for Artificial Intelligence (AAAI) Press";"1993-1994, 1996-1999, 2002, 2004-2008, 2010-2012, 2014-2015";"Artificial Intelligence; Software"
37;24804;"Neural Networks";journal;"08936080, 18792782";0,474;Q2;154;88;367;2933;484;362;1,25;33,33;United Kingdom;Western Europe;"Elsevier Ltd.";"1988-2021";"Artificial Intelligence (Q2); Cognitive Neuroscience (Q4)"
38;24185;"Expert Systems";journal;"14680394, 02664720";0,449;Q2;41;18;46;507;16;46;0,15;28,17;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1984-2021";"Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Theoretical Computer Science (Q2); Computational Theory and Mathematics (Q3)"
39;24201;"Expert Systems with Applications";journal;"09574174";0,443;Q2;225;52;220;1273;124;220;0,52;24,48;United Kingdom;Western Europe;"Elsevier Ltd.";"1990-2022";"Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2)"
40;26529;"Fuzzy Sets and Systems";journal;"01650114";0,441;Q2;174;322;906;5329;513;906;0,44;16,55;Netherlands;Western Europe;"Elsevier";"1978-2021";"Artificial Intelligence (Q2); Logic (Q3)"
41;25621;"Journal of Parallel and Distributed Computing";journal;"07437315, 10960848";0,436;Q2;92;67;284;1585;316;283;0,91;23,66;United States;Northern America;"Academic Press Inc.";"1984-2022";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2)"
42;11600154611;"ACM International Conference Proceeding Series";conference and proceedings;"-";0,433;-;128;38;54;475;36;52;1,41;12,50;United States;Northern America;"Association for Computing Machinery (ACM)";"1996-1997, 1999-2021";"Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software"
43;24825;"Pattern Recognition Letters";journal;"01678655";0,426;Q2;163;113;457;1750;450;456;1,00;15,49;Netherlands;Western Europe;"Elsevier";"1982-2021";"Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Software (Q2); Signal Processing (Q3)"
44;23670;"Annals of Mathematics and Artificial Intelligence";journal;"15737470, 10122443";0,424;Q2;56;27;116;1249;76;116;0,86;46,26;Netherlands;Western Europe;"Springer Netherlands";"1990-2021";"Artificial Intelligence (Q2); Applied Mathematics (Q3)"
45;11300153726;"Intelligent Data Analysis";journal;"1088467X, 15714128";0,416;Q2;48;36;84;763;76;71;0,69;21,19;Netherlands;Western Europe;"IOS Press BV";"1997-2021";"Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Theoretical Computer Science (Q3)"
46;23673;"Applied Artificial Intelligence";journal;"10876545, 08839514";0,413;Q2;59;42;102;1180;122;102;1,38;28,10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2021";"Artificial Intelligence (Q2)"
47;24286;"International Journal of Approximate Reasoning";journal;"0888613X, 18734731";0,394;Q2;100;38;106;949;58;106;0,47;24,97;United States;Northern America;"Elsevier Inc.";"1974, 1987-2021";"Artificial Intelligence (Q2); Software (Q2); Applied Mathematics (Q3); Theoretical Computer Science (Q3)"
48;15631;"International Journal of Information Management";journal;"02684012";0,394;-;132;30;96;860;78;96;0,74;28,67;United Kingdom;Western Europe;"Elsevier Ltd.";"1970, 1986-2022";"Computer Networks and Communications (Q2); Information Systems (Q2); Library and Information Sciences (Q2)"
49;24175;"Constraints";journal;"15729354, 13837133";0,384;Q2;46;14;60;419;56;60;0,80;29,93;Netherlands;Western Europe;"Springer Netherlands";"1996-2021";"Artificial Intelligence (Q2); Software (Q2); Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q4)"
50;26803;"Journal of Pragmatics";journal;"03782166";0,377;Q2;103;64;193;3157;75;193;0,39;49,33;Netherlands;Western Europe;"Elsevier";"1977-2021";"Artificial Intelligence (Q2); Linguistics and Language (Q2)"
51;23640;"Advanced Engineering Informatics";journal;"14740346";0,366;Q2;90;27;113;691;104;113;1,01;25,59;United Kingdom;Western Europe;"Elsevier Ltd.";"2002-2021";"Artificial Intelligence (Q2); Information Systems (Q2)"
52;23678;"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM";journal;"08900604, 14691760";0,359;Q2;54;28;102;723;72;100;0,57;25,82;United Kingdom;Western Europe;"Cambridge University Press";"1987-2021";"Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2)"
53;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";0,355;Q2;85;41;148;940;77;148;0,45;22,93;Netherlands;Western Europe;"Springer Netherlands";"1990-2021";"Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Software (Q2)"
54;24306;"Digital Signal Processing: A Review Journal";journal;"10954333, 10512004";0,354;-;79;22;65;441;28;65;0,54;20,05;United States;Northern America;"Elsevier Inc.";"1991-2022";"Electrical and Electronic Engineering (Q2); Signal Processing (Q3)"
55;24173;"Connection Science";journal;"13600494, 09540091";0,346;Q3;44;14;53;592;39;53;1,00;42,29;United Kingdom;Western Europe;"Taylor and Francis AS";"1989-2021";"Software (Q2); Artificial Intelligence (Q3); Human-Computer Interaction (Q3)"
56;24807;"Neurocomputing";journal;"09252312";0,333;Q3;157;221;354;3009;250;344;0,66;13,62;Netherlands;Western Europe;"Elsevier";"1989-2021";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Cognitive Neuroscience (Q4)"
57;23617;"AI Communications";journal;"09217126";0,326;Q3;40;18;51;481;45;51;0,75;26,72;Netherlands;Western Europe;"IOS Press BV";"1987-2021";"Artificial Intelligence (Q3)"
58;24357;"Journal of Experimental and Theoretical Artificial Intelligence";journal;"13623079, 0952813X";0,326;Q3;45;33;91;897;61;91;0,42;27,18;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2021";"Software (Q2); Artificial Intelligence (Q3); Theoretical Computer Science (Q3)"
59;24310;"International Journal of Pattern Recognition and Artificial Intelligence";journal;"02180014";0,319;Q3;57;56;184;1156;170;184;0,75;20,64;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1995-2021";"Software (Q2); Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3)"
60;26138;"Parallel Computing";journal;"01678191";0,310;Q3;69;92;363;2675;265;359;0,70;29,08;Netherlands;Western Europe;"Elsevier";"1984-2021";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Artificial Intelligence (Q3); Computer Graphics and Computer-Aided Design (Q3); Theoretical Computer Science (Q3)"
61;24326;"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems";journal;"02184885";0,294;Q3;61;43;120;867;38;120;0,14;20,16;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2021";"Control and Systems Engineering (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Software (Q3)"
62;15134;"Information Sciences";journal;"00200255";0,286;Q3;194;127;386;2602;181;386;0,49;20,49;United States;Northern America;"Elsevier Inc.";"1968-2022";"Control and Systems Engineering (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Information Systems and Management (Q3); Software (Q3); Theoretical Computer Science (Q3)"
63;36450;"Design Studies";journal;"0142694X";0,278;Q3;98;29;80;787;71;80;0,94;27,14;United Kingdom;Western Europe;"Elsevier Ltd.";"1979-2021";"Architecture (Q1); Engineering (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Artificial Intelligence (Q3); Arts and Humanities (miscellaneous) (Q3); Computer Science Applications (Q3)"
64;19270;"International Journal of Software Engineering and Knowledge Engineering";journal;"02181940";0,276;Q3;36;36;85;893;47;85;0,53;24,81;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2021";"Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Computer Graphics and Computer-Aided Design (Q3); Software (Q3)"
65;23737;"Computational Intelligence";journal;"08247935, 14678640";0,272;Q3;53;27;65;760;45;65;0,69;28,15;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1985-2021";"Artificial Intelligence (Q3); Computational Mathematics (Q4)"
66;24360;"Journal of Intelligent and Robotic Systems: Theory and Applications";journal;"15730409, 09210296";0,268;Q3;82;58;179;1389;82;179;0,40;23,95;Netherlands;Western Europe;"Springer Netherlands";"1988-2021";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2); Artificial Intelligence (Q3); Software (Q3)"
67;24806;"Neural Processing Letters";journal;"13704621, 1573773X";0,265;Q3;58;43;131;601;65;131;0,41;13,98;Netherlands;Western Europe;"Springer Netherlands";"1994-2021";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Neuroscience (miscellaneous) (Q3); Software (Q3)"
68;110565;"IEEE International Conference on Fuzzy Systems";conference and proceedings;"10987584";0,260;-;61;197;610;2547;126;605;0,11;12,93;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1994-2009, 2011-2015, 2017-2021";"Applied Mathematics; Artificial Intelligence; Software; Theoretical Computer Science"
69;24182;"Engineering Applications of Artificial Intelligence";journal;"09521976";0,246;Q3;114;65;181;1231;102;181;0,56;18,94;United Kingdom;Western Europe;"Elsevier Ltd.";"1988-2021";"Electrical and Electronic Engineering (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3)"
70;24822;"Pattern Analysis and Applications";journal;"1433755X, 14337541";0,243;Q3;58;28;49;881;45;49;0,92;31,46;United Kingdom;Western Europe;"Springer London";"1998-2021";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3)"
71;24241;"Neural Networks for Signal Processing - Proceedings of the IEEE Workshop";conference and proceedings;"-";0,239;-;32;99;189;1103;84;187;0,45;11,14;United States;Northern America;"";"";"Electrical and Electronic Engineering; Signal Processing; Software"
72;24777;"Minds and Machines";journal;"09246495, 15728641";0,235;Q3;44;23;58;671;24;58;0,39;29,17;Netherlands;Western Europe;"Springer Netherlands";"1991-2021";"Philosophy (Q2); Artificial Intelligence (Q3)"
73;23674;"Applied Intelligence";journal;"0924669X, 15737497";0,231;Q3;72;34;89;1116;51;89;0,60;32,82;Netherlands;Western Europe;"Springer Netherlands";"1991-2021";"Artificial Intelligence (Q3)"
74;24772;"Knowledge-Based Systems";journal;"09507051";0,229;Q3;135;51;126;969;59;126;0,50;19,00;Netherlands;Western Europe;"Elsevier";"1987-2021";"Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems and Management (Q3); Software (Q3)"
75;23917;"Journal of Intelligent and Fuzzy Systems";journal;"18758967, 10641246";0,228;Q3;64;37;95;719;34;95;0,31;19,43;Netherlands;Western Europe;"IOS Press BV";"1993-2021";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q4)"
76;12931;"Cybernetics and Systems";journal;"10876553, 01969722";0,210;Q3;41;42;127;904;36;126;0,18;21,52;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2021";"Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3)"
77;24449;"Kybernetika";journal;"00235954, 1805949X";0,200;Q3;38;45;160;830;28;160;0,19;18,44;Czech Republic;Eastern Europe;"Academy of Sciences of the Czech Republic";"1972-1989, 1996-2021";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q4)"
78;24800;"Neural Computing and Applications";journal;"09410643, 14333058";0,199;Q3;94;31;109;630;48;109;0,34;20,32;United Kingdom;Western Europe;"Springer London";"1993-2021";"Artificial Intelligence (Q3); Software (Q3)"
79;25476;"Intelligent Automation and Soft Computing";journal;"10798587, 2326005X";0,198;Q3;28;29;85;444;16;85;0,20;15,31;United States;Northern America;"Tech Science Press";"1995-2022";"Artificial Intelligence (Q3); Software (Q3); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4)"
80;12981;"Kybernetes";journal;"0368492X";0,190;Q4;43;170;390;1463;30;390;0,07;8,61;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1972-2021";"Engineering (miscellaneous) (Q2); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Social Sciences (miscellaneous) (Q3); Software (Q3); Artificial Intelligence (Q4); Theoretical Computer Science (Q4)"
81;21100204931;"Sistemi Intelligenti";journal;"11209550, 19738226";0,188;Q4;7;28;99;613;7;79;0,09;21,89;Italy;Western Europe;"Il Mulino publishing house";"1997-2021";"Linguistics and Language (Q3); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
82;71051;"Psyche";journal;"1039723X";0,176;Q4;18;10;6;196;1;6;0,25;19,60;United States;Northern America;"Association for the Scientific Study of Conciousness";"1997-1998, 2000-2010";"Philosophy (Q2); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
83;18197;"Integrated Computer-Aided Engineering";journal;"10692509, 18758835";0,174;Q4;45;24;69;542;24;69;0,21;22,58;Netherlands;Western Europe;"IOS Press BV";"1993-2021";"Software (Q3); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Theoretical Computer Science (Q4)"
84;145544;"Journal of Semantics";journal;"01675133, 14774593";0,174;Q4;43;15;33;0;7;33;0,22;0,00;United Kingdom;Western Europe;"Oxford University Press";"1982-1986, 1990-2021";"Arts and Humanities (miscellaneous) (Q3); Linguistics and Language (Q3); Artificial Intelligence (Q4)"
85;24809;"Journal of Memetics";journal;"13664786";0,172;Q4;15;7;46;162;10;24;0,11;23,14;United Kingdom;Western Europe;"Manchester Metropolitan University";"1997-2005";"Philosophy (Q2); Anthropology (Q3); Artificial Intelligence (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
86;24951;"Automatic Control and Computer Sciences (English translation of Avtomatika i Vychislitel'naya Tekhnika)";journal;"01324160";0,164;Q4;6;8;162;69;9;162;0,07;8,63;Russian Federation;Eastern Europe;"Izdatel'stvo Nauka";"1978-1980, 1991-2005";"Control and Systems Engineering (Q3); Artificial Intelligence (Q4)"
87;15552;"Microprocessors and Microsystems";journal;"01419331";0,164;Q4;41;42;199;771;36;198;0,15;18,36;Netherlands;Western Europe;"Elsevier";"1978-2021";"Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Software (Q3); Artificial Intelligence (Q4)"
88;13880;"Artificial Intelligence and Law";journal;"09248463, 15728382";0,160;Q4;41;10;43;329;16;43;0,45;32,90;Netherlands;Western Europe;"Springer Netherlands";"1992-1993, 1995-2021";"Law (Q3); Artificial Intelligence (Q4)"
89;27190;"Machine Translation";journal;"09226567, 15730573";0,160;Q4;31;13;32;393;27;31;0,38;30,23;Netherlands;Western Europe;"Springer Netherlands";"1989-2021";"Linguistics and Language (Q3); Artificial Intelligence (Q4); Software (Q4)"
90;12237;"Complexity International";journal;"13200682";0,158;Q4;16;25;39;632;8;39;0,23;25,28;Australia;Pacific Region;"Charles Sturt University";"1996-1998, 2000, 2002, 2004-2005, 2008";"Computer Networks and Communications (Q3); Artificial Intelligence (Q4); Software (Q4)"
91;25507;"Informatica (Slovenia)";journal;"18543871, 03505596";0,154;Q4;36;54;151;1135;29;151;0,23;21,02;Slovenia;Eastern Europe;"Slovene Society Informatika";"1995-2021";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Software (Q4); Theoretical Computer Science (Q4)"
92;99254;"Proceedings of the International Conference on Artificial Intelligence and Law";conference and proceedings;"-";0,148;-;34;0;70;0;19;70;0,19;0,00;United States;Northern America;"";"";"Artificial Intelligence; Law; Software"
93;25482;"International Journal of Robotics and Automation";journal;"19257090, 08268185";0,144;Q4;26;16;55;269;10;55;0,14;16,81;Canada;Northern America;"ACTA Press";"1995-2021";"Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4); Modeling and Simulation (Q4); Software (Q4)"
94;28380;"Natural Language Engineering";journal;"14698110, 13513249";0,144;Q4;57;21;49;515;29;49;0,43;24,52;United Kingdom;Western Europe;"Cambridge University Press";"1995-2021";"Linguistics and Language (Q3); Artificial Intelligence (Q4); Software (Q4)"
95;12962;"Journal of Intelligent Systems";journal;"03341860, 2191026X";0,136;Q4;21;21;51;819;13;51;0,21;39,00;Germany;Western Europe;"Walter de Gruyter GmbH";"1991-2002, 2004-2021";"Artificial Intelligence (Q4); Information Systems (Q4); Software (Q4)"
96;15109;"IEICE Transactions on Information and Systems";journal;"17451361, 09168532";0,135;Q4;50;278;490;5081;111;489;0,22;18,28;Japan;Asiatic Region;"Maruzen Co., Ltd/Maruzen Kabushikikaisha";"1993-2021";"Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3); Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Software (Q4)"
97;12886;"Cognitive Systems Research";journal;"13890417";0,124;Q4;56;9;4;44;2;4;0,50;4,89;Netherlands;Western Europe;"Elsevier";"1999-2021";"Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
98;24802;"Neural Network World";journal;"23364335, 12100552";0,121;Q4;27;43;125;606;15;124;0,10;14,09;Czech Republic;Eastern Europe;"Czech Technical University in Prague";"1994-2021";"Artificial Intelligence (Q4); Hardware and Architecture (Q4); Neuroscience (miscellaneous) (Q4); Software (Q4)"
