Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2006);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";3,063;Q1;201;93;172;3030;1887;166;13,17;32,58;Netherlands;Western Europe;"Springer Netherlands";"1987-2021";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
2;12872;"Cognitive Psychology";journal;"10955623, 00100285";2,999;Q1;123;19;64;1321;322;64;4,22;69,53;United States;Northern America;"Academic Press Inc.";"1970-2021";"Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
3;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";2,815;Q1;377;189;499;6108;4587;487;8,50;32,32;United States;Northern America;"IEEE Computer Society";"1978-2021";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
4;22478;"Journal of Memory and Language";journal;"10960821, 0749596X";2,608;Q1;156;64;203;3373;858;203;3,51;52,70;United States;Northern America;"Academic Press Inc.";"1985-2021";"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
5;20969;"Journal of Machine Learning Research";journal;"15337928, 15324435";2,596;Q1;221;100;244;3393;2046;244;6,28;33,93;United States;Northern America;"Microtome Publishing";"2001-2021";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1)"
6;23127;"Journal of the ACM";journal;"00045411, 1557735X";2,549;Q1;131;31;115;1026;490;113;5,27;33,10;United States;Northern America;"Association for Computing Machinery (ACM)";"1954-2021";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)"
7;12874;"Cognitive Science";journal;"03640213, 15516709";2,019;Q1;120;44;121;2473;384;114;2,88;56,20;United States;Northern America;"Wiley-Blackwell";"1977-2021";"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Cognitive Neuroscience (Q2)"
8;24775;"Machine Learning";journal;"15730565, 08856125";1,800;Q1;153;54;135;1942;742;127;4,40;35,96;Netherlands;Western Europe;"Springer Netherlands";"1986-2021";"Artificial Intelligence (Q1); Software (Q1)"
9;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";1,787;Q1;202;73;231;2339;1014;224;3,95;32,04;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2021";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)"
10;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";1,722;Q1;221;164;437;5018;2053;415;4,13;30,60;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2021";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)"
11;24330;"Journal of Artificial Intelligence Research";journal;"10769757";1,593;Q1;123;36;117;1518;579;117;4,04;42,17;United States;Northern America;"Morgan Kaufmann Publishers, Inc.";"1993, 1996-2021";"Artificial Intelligence (Q1)"
12;13017;"Physics of Life Reviews";journal;"18731457, 15710645";1,575;Q1;67;12;23;1310;80;21;3,48;109,17;Netherlands;Western Europe;"Elsevier";"2004-2021";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)"
13;23675;"Artificial Intelligence";journal;"00043702";1,472;Q1;155;46;201;1683;874;196;4,33;36,59;Netherlands;Western Europe;"Elsevier";"1970-2022";"Artificial Intelligence (Q1); Linguistics and Language (Q1)"
14;24774;"Knowledge Engineering Review";journal;"14698005, 02698889";1,268;Q1;64;18;62;767;260;61;1,84;42,61;United Kingdom;Western Europe;"Cambridge University Press";"1984, 1987-2021";"Artificial Intelligence (Q1); Software (Q1)"
15;24157;"Autonomous Agents and Multi-Agent Systems";journal;"15737454, 13872532";1,252;Q1;72;24;63;957;327;63;6,33;39,88;Netherlands;Western Europe;"Springer Netherlands";"1998-2021";"Artificial Intelligence (Q1)"
16;18050;"International Journal of Robotics Research";journal;"02783649, 17413176";1,247;Q1;170;74;203;2404;792;195;3,58;32,49;United States;Northern America;"SAGE Publications Inc.";"1982-2021";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)"
17;24823;"Pattern Recognition";journal;"00313203";1,198;Q1;218;233;680;6550;2390;676;2,98;28,11;United Kingdom;Western Europe;"Elsevier Ltd.";"1968-2022";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)"
18;26529;"Fuzzy Sets and Systems";journal;"01650114";1,075;Q1;174;219;706;5321;1615;682;2,07;24,30;Netherlands;Western Europe;"Elsevier";"1978-2021";"Artificial Intelligence (Q1); Logic (Q1)"
19;28424;"Theory and Practice of Logic Programming";journal;"14753081, 14710684";1,005;Q1;46;22;70;794;144;68;1,48;36,09;United Kingdom;Western Europe;"Cambridge University Press";"2001-2021";"Artificial Intelligence (Q1); Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1); Computational Theory and Mathematics (Q2)"
